ID,Gender,Age,Customer Type,Type of Travel,Class,Flight Distance,Departure Delay,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Leg Room Service,Cleanliness,Food and Drink,In-flight Service,In-flight Wifi Service,In-flight Entertainment,Baggage Handling,Satisfaction
104640,Male,48,Returning,Business,Business,1754,67,74,5,5,3,4,5,5,4,5,5,4,5,5,5,5,Satisfied
111407,Female,23,Returning,Business,Economy Plus,1111,8,16,2,2,4,1,2,3,1,2,1,1,4,1,1,4,Neutral or Dissatisfied
75086,Male,28,Returning,Business,Business,1814,44,31,3,3,4,5,3,5,5,5,5,5,4,3,5,4,Satisfied
74887,Male,62,Returning,Business,Business,2446,1,,5,5,4,3,5,3,4,3,2,3,3,3,3,3,Neutral or Dissatisfied
124606,Male,20,First-time,Business,Business,1671,0,28,2,2,1,2,1,1,5,1,5,5,2,2,5,1,Neutral or Dissatisfied
110046,Male,53,Returning,Business,Economy,1984,4,18,1,1,3,1,1,2,2,3,2,2,3,1,2,1,Neutral or Dissatisfied
8593,Female,12,Returning,Personal,Economy,109,7,0,4,2,3,2,3,4,3,4,3,3,4,2,3,5,Neutral or Dissatisfied
115384,Male,37,Returning,Business,Business,2117,3,1,4,4,5,4,4,4,4,4,4,5,4,4,4,4,Satisfied
49380,Male,40,First-time,Business,Economy,134,0,1,0,3,1,3,2,5,4,1,3,3,5,3,3,5,Neutral or Dissatisfied
3192,Female,54,First-time,Business,Economy,293,0,0,4,3,5,3,1,1,5,1,5,5,1,3,5,4,Neutral or Dissatisfied
5525,Female,19,First-time,Business,Economy,431,103,242,1,2,5,4,4,3,5,4,5,2,3,2,1,4,Neutral or Dissatisfied
33803,Male,30,Returning,Business,Economy,1521,20,26,3,3,2,4,3,5,4,3,4,4,3,4,4,1,Satisfied
103102,Male,10,Returning,Personal,Economy,328,0,0,1,3,4,3,3,4,2,2,2,2,3,1,2,4,Neutral or Dissatisfied
98684,Female,41,Returning,Personal,Economy,992,0,0,5,5,5,5,2,4,1,5,1,1,5,4,1,4,Satisfied
50873,Female,63,Returning,Personal,Economy,109,0,0,5,0,3,4,3,5,3,0,5,3,5,2,5,5,Neutral or Dissatisfied
28277,Male,55,Returning,Business,Business,902,57,30,5,5,3,3,5,4,3,1,3,3,2,5,2,5,Satisfied
19672,Female,44,Returning,Personal,Business,475,0,0,2,3,2,4,3,1,4,3,3,1,1,3,1,1,Neutral or Dissatisfied
69253,Male,40,Returning,Business,Business,733,0,0,4,2,5,4,4,5,5,5,3,2,5,4,5,5,Satisfied
72042,Female,45,Returning,Personal,Economy,4243,6,0,5,1,3,3,1,2,3,3,3,1,2,1,1,3,Neutral or Dissatisfied
44985,Female,52,Returning,Business,Economy,222,0,0,2,2,5,4,2,3,2,3,2,5,3,3,3,3,Satisfied
129195,Female,57,Returning,Business,Business,2288,156,133,3,3,5,5,3,5,5,3,5,4,3,3,5,5,Satisfied
92082,Male,42,First-time,Business,Economy,1344,91,82,1,1,2,1,2,4,5,5,5,5,2,1,5,1,Neutral or Dissatisfied
88106,Male,52,Returning,Business,Business,1521,21,15,1,1,4,4,1,5,4,5,3,2,5,1,5,5,Satisfied
126235,Female,25,First-time,Business,Economy,328,0,0,0,4,5,4,3,2,5,3,5,5,1,4,5,2,Neutral or Dissatisfied
7009,Female,77,Returning,Business,Business,2342,2,0,0,0,3,2,4,1,1,1,2,5,1,0,1,1,Satisfied
23298,Female,38,Returning,Business,Business,2032,2,0,5,5,5,2,5,2,4,2,3,2,2,5,2,2,Satisfied
110893,Male,60,Returning,Business,Business,2223,1,0,3,3,3,4,3,4,4,4,5,4,4,3,4,4,Satisfied
36189,Male,29,First-time,Business,Business,496,0,0,3,3,2,3,2,3,1,4,1,1,3,3,1,2,Neutral or Dissatisfied
128854,Male,49,Returning,Personal,Economy,2475,0,0,4,2,2,2,1,2,2,5,2,2,3,2,4,5,Neutral or Dissatisfied
101193,Male,9,Returning,Personal,Economy,775,100,93,3,3,2,3,3,3,5,4,4,4,4,3,4,3,Neutral or Dissatisfied
3157,Female,41,Returning,Business,Business,2217,0,0,5,0,3,4,1,5,5,5,4,4,5,0,5,5,Satisfied
74545,Female,30,Returning,Business,Business,2756,0,0,1,1,4,5,1,3,5,2,5,5,4,1,5,5,Satisfied
67323,Male,27,Returning,Personal,Economy Plus,1121,5,0,5,2,4,2,4,3,3,4,3,3,4,2,3,4,Neutral or Dissatisfied
63977,Female,48,Returning,Personal,Economy Plus,1192,0,0,1,2,1,1,1,5,2,2,3,1,5,2,5,3,Neutral or Dissatisfied
54813,Female,41,Returning,Business,Economy,862,4,0,2,2,2,4,2,4,4,5,4,4,1,4,4,1,Satisfied
119667,Female,62,Returning,Personal,Economy,507,9,1,4,3,3,4,3,3,4,3,2,5,3,3,3,3,Neutral or Dissatisfied
94934,Female,18,First-time,Business,Economy,239,3,0,4,5,2,5,4,1,1,5,1,1,5,5,1,1,Satisfied
5298,Female,34,Returning,Personal,Economy,285,0,,1,3,3,3,3,4,4,2,4,4,4,3,4,4,Neutral or Dissatisfied
44413,Female,49,Returning,Personal,Economy,342,0,0,4,3,3,4,2,4,4,3,5,4,4,3,4,4,Neutral or Dissatisfied
112855,Female,39,Returning,Business,Business,1476,13,13,5,2,4,5,5,4,4,4,5,5,4,5,4,4,Satisfied
12331,Female,32,Returning,Business,Business,192,61,53,1,1,4,5,1,2,4,3,5,5,4,1,5,3,Satisfied
105157,Female,22,First-time,Business,Economy,281,0,10,0,4,4,4,2,3,5,3,5,5,1,4,5,2,Satisfied
84586,Male,42,Returning,Business,Business,1592,29,19,1,1,4,3,1,3,2,2,1,5,3,3,3,3,Neutral or Dissatisfied
50624,Female,7,Returning,Personal,Economy,86,94,89,2,1,4,1,4,2,4,2,3,3,4,1,3,4,Neutral or Dissatisfied
4990,Female,7,Returning,Business,Business,502,17,2,2,2,3,4,2,4,4,2,4,4,3,4,4,4,Neutral or Dissatisfied
88913,Female,59,Returning,Personal,Economy,859,17,16,4,1,3,4,2,4,4,1,4,2,4,1,4,4,Neutral or Dissatisfied
91367,Male,61,Returning,Personal,Economy Plus,404,0,0,2,3,3,3,3,3,4,2,4,4,4,3,4,4,Neutral or Dissatisfied
65028,Male,41,Returning,Personal,Economy,224,13,8,4,0,3,0,1,5,2,4,2,2,5,4,2,5,Neutral or Dissatisfied
8696,Female,42,Returning,Business,Business,280,16,7,1,1,3,4,1,5,5,5,5,5,5,1,5,5,Satisfied
91443,Male,32,Returning,Business,Business,859,435,470,5,5,4,4,5,3,4,5,4,4,3,5,3,5,Satisfied
125387,Male,49,Returning,Business,Economy,1440,0,0,4,3,3,2,3,2,2,4,2,2,2,2,2,3,Neutral or Dissatisfied
52517,Female,63,Returning,Business,Business,119,61,55,1,1,5,2,1,5,2,5,5,2,5,1,5,5,Satisfied
112051,Male,56,Returning,Business,Business,2255,0,0,1,4,4,4,4,3,4,3,4,2,3,4,3,3,Satisfied
53069,Female,39,Returning,Personal,Economy,1190,0,2,5,3,5,3,3,5,4,4,4,4,5,3,4,3,Neutral or Dissatisfied
50121,Female,33,Returning,Business,Economy,326,65,55,4,4,2,2,4,2,2,2,2,2,4,2,2,3,Neutral or Dissatisfied
97802,Male,44,Returning,Business,Business,395,0,0,1,1,3,4,1,4,5,4,5,4,4,1,4,4,Satisfied
16867,Male,22,Returning,Business,Business,2426,53,73,3,4,1,2,3,1,2,4,2,2,1,2,2,1,Neutral or Dissatisfied
66537,Male,47,Returning,Personal,Economy,733,61,72,1,2,3,2,2,2,3,3,3,3,3,2,3,2,Neutral or Dissatisfied
126978,Female,48,Returning,Business,Business,1866,0,0,2,2,5,4,2,4,5,4,3,5,4,2,4,4,Satisfied
26692,Male,21,Returning,Personal,Economy,404,0,0,5,2,3,2,3,5,4,2,4,4,5,2,4,5,Neutral or Dissatisfied
42359,Male,49,Returning,Personal,Economy,748,0,0,1,1,4,1,3,2,5,2,5,5,3,1,5,3,Neutral or Dissatisfied
80726,Male,49,Returning,Business,Business,3323,0,0,2,2,3,5,2,5,4,5,3,3,5,2,5,5,Satisfied
64938,Female,55,Returning,Business,Business,2511,0,0,3,3,4,3,3,1,4,1,2,3,1,1,1,1,Neutral or Dissatisfied
29009,Female,56,Returning,Business,Business,2196,0,0,2,2,4,1,2,1,2,1,3,2,1,1,1,1,Neutral or Dissatisfied
